#Station Number    Run    Start    End    Run Type    antennaIceA#I1    antennaIceB#I1    opIceA#I1    opIceB#I1    attIceA#I1    attIceB#I1    Run_Start_Type    Run_End_Type    enableExtTrigger#I1    Quality    aComment    uComment
ARA01  10359   1517722818   1517744419       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10360   1517744421   1517766022       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10362   1517780415   1517802016       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10363   1517802018   1517823619       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10364   1517823621   1517845222       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10365   1517845223   1517861983       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10366   1517861985   1517883586       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10368   1517884620   1517906221       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10369   1517906223   1517927824       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10370   1517927826   1517949427       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10371   1517949429   1517971030       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10373   1517972065   1517987102       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10374   1517987103   1517989435       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10375   1517989437   1518011038       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10376   1518011039   1518024334       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10378   1518025368   1518046969       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10379   1518046971   1518068573       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10380   1518068574   1518084119       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10381   1518084121   1518105722       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10384   1518129616   1518151217       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10385   1518151219   1518157651       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10386   1518157653   1518179254       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10387   1518179256   1518200857       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10388   1518200858   1518222459       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10390   1518223496   1518224902       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10391   1518224903   1518246504       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10392   1518246506   1518268107       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10393   1518268109   1518271723       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10395   1518272761   1518294362       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10396   1518294364   1518315965       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10397   1518315967   1518337568       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10398   1518337570   1518359171       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10400   1518360205   1518381806       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10402   1518396014   1518417615       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10404   1518432015   1518453616       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10405   1518453618   1518470031       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10406   1518470033   1518486392       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10407   1518486394   1518488280       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10409   1518500415   1518522016       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10410   1518522017   1518543618       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10411   1518543620   1518565221       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10412   1518565223   1518586824       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10413   1518586826   1518606960       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10415   1518607993   1518629594       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10416   1518629596   1518651197       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10417   1518651199   1518652443       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10418   1518652445   1518674046       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10420   1518675081   1518696682       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10421   1518696684   1518718285       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10422   1518718287   1518739888       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10423   1518739890   1518761491       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10425   1518762523   1518784124       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10426   1518784126   1518787987       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10427   1518787989   1518809590       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10428   1518809592   1518831193       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10430   1518832232   1518853833       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10431   1518853835   1518875436       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10432   1518875439   1518897040       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10433   1518897042   1518918643       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10435   1518919679   1518941280       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
